Na,Li,K,Cs,Ca,Mg,Si,P,B,Al,Si6SM,Si5SM,Si4SM,Si3SM,Si2SM,Si1SM,Si0SM,P3SM,P2SM,P1SM,P0SM,B4SM,Al4SM,Al6SM,Si6,Si5,Si4,Si3,Si2,Si1,Si0,P3,P2,P1,P0,B4,Al4,Al6
0,0,0,16.77,0,0,83.23,0,0,0,0,0,60.0055952,39.98880961,0.005595191,3.40E-09,4.85E-20,0,0,0,0,0,0,0,0,0,59.03,40.97,0,0,0,0,0,0,0,0,0,0
0,0,0,21.95,0,0,78.05,0,0,0,0,0,44.0132485,55.97350301,0.013248476,1.34E-08,3.18E-19,0,0,0,0,0,0,0,0,0,42.57,57.43,0,0,0,0,0,0,0,0,0,0
0,0,0,26.9,0,0,73.1,0,0,0,0,0,26.03082193,73.93835619,0.030821826,5.31E-08,2.12E-18,0,0,0,0,0,0,0,0,0,25.04,74.96,0,0,0,0,0,0,0,0,0,0
0,0,0,30,0,0,70,0,0,0,0,0,14.05582516,85.88834983,0.055824867,1.44E-07,8.57E-18,0,0,0,0,0,0,0,0,0,14.8,81.7,3.6,0,0,0,0,0,0,0,0,0
0,0,7.94,0,0,0,0,0,92.06,0,0,0,0,0,0,0,0,0,0,0,0,8.690692994,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98,0,0
0,0,13.04,0,0,0,0,0,86.96,0,0,0,0,0,0,0,0,0,0,0,0,14.09093279,0,0,0,0,0,0,0,0,0,0,0,0,0,11.01,0,0
0,0,17.95,0,0,0,0,0,82.05,0,0,0,0,0,0,0,0,0,0,0,0,19.97975303,0,0,0,0,0,0,0,0,0,0,0,0,0,15.12,0,0
0,0,22.85,0,0,0,0,0,77.15,0,0,0,0,0,0,0,0,0,0,0,0,26.14480346,0,0,0,0,0,0,0,0,0,0,0,0,0,22.11,0,0
0,0,27.91,0,0,0,0,0,72.09,0,0,0,0,0,0,0,0,0,0,0,0,32.31715335,0,0,0,0,0,0,0,0,0,0,0,0,0,34.9,0,0
0,0,32.84,0,0,0,0,0,67.16,0,0,0,0,0,0,0,0,0,0,0,0,33.52172392,0,0,0,0,0,0,0,0,0,0,0,0,0,39.99,0,0
0,0,37.96,0,0,0,0,0,62.04,0,0,0,0,0,0,0,0,0,0,0,0,30.74088718,0,0,0,0,0,0,0,0,0,0,0,0,0,39.97,0,0
0,0,45.22,0,0,0,0,0,54.78,0,0,0,0,0,0,0,0,0,0,0,0,24.17020863,0,0,0,0,0,0,0,0,0,0,0,0,0,30.17,0,0
0,0,20,0,0,0,80,0,0,0,0,0,50.51869828,48.96278622,0.518332745,0.000182755,6.57E-09,0,0,0,0,0,0,0,0,0,49,51,0,0,0,0,0,0,0,0,0,0
0,0,27.3,0,0,0,72.7,0,0,0,0,0,26.62175818,71.75765123,1.619423086,0.001167419,8.48E-08,0,0,0,0,0,0,0,0,0,25,72,3,0,0,0,0,0,0,0,0,0
0,0,28.6,0,0,0,71.4,0,0,0,0,0,22.01289609,75.97588464,2.009542579,0.001676547,1.40E-07,0,0,0,0,0,0,0,0,0,22,74,4,0,0,0,0,0,0,0,0,0
