Na,Li,K,Cs,Ca,Mg,Si,P,B,Al,Si6SM,Si5SM,Si4SM,Si3SM,Si2SM,Si1SM,Si0SM,P3SM,P2SM,P1SM,P0SM,B4SM,Al4SM,Al6SM
46.09,0,0,0,0,0,53.91,0,0,0,0,0,0,37.12,55.07,7.48,0.32,0,0,0,0,0,0,0
46.24,0,0,0,0,0,53.76,0,0,0,0,0,0,36.39,55.56,7.71,0.34,0,0,0,0,0,0,0
46.38,0,0,0,0,0,53.62,0,0,0,0,0,0,35.66,56.04,7.95,0.36,0,0,0,0,0,0,0
46.52,0,0,0,0,0,53.48,0,0,0,0,0,0,34.94,56.5,8.19,0.37,0,0,0,0,0,0,0
46.67,0,0,0,0,0,53.33,0,0,0,0,0,0,34.22,56.96,8.43,0.39,0,0,0,0,0,0,0
46.81,0,0,0,0,0,53.19,0,0,0,0,0,0,33.51,57.4,8.68,0.41,0,0,0,0,0,0,0
46.95,0,0,0,0,0,53.05,0,0,0,0,0,0,32.8,57.83,8.94,0.43,0,0,0,0,0,0,0
47.09,0,0,0,0,0,52.91,0,0,0,0,0,0,32.1,58.25,9.19,0.45,0,0,0,0,0,0,0
47.23,0,0,0,0,0,52.77,0,0,0,0,0,0,31.4,58.67,9.45,0.48,0,0,0,0,0,0,0
47.37,0,0,0,0,0,52.63,0,0,0,0,0,0,30.72,59.07,9.72,0.5,0,0,0,0,0,0,0
47.51,0,0,0,0,0,52.49,0,0,0,0,0,0,30.03,59.45,9.99,0.52,0,0,0,0,0,0,0
47.64,0,0,0,0,0,52.36,0,0,0,0,0,0,29.36,59.83,10.27,0.55,0,0,0,0,0,0,0
47.78,0,0,0,0,0,52.22,0,0,0,0,0,0,28.69,60.19,10.54,0.57,0,0,0,0,0,0,0
47.92,0,0,0,0,0,52.08,0,0,0,0,0,0,28.03,60.55,10.83,0.6,0,0,0,0,0,0,0
48.05,0,0,0,0,0,51.95,0,0,0,0,0,0,27.37,60.89,11.12,0.63,0,0,0,0,0,0,0
48.19,0,0,0,0,0,51.81,0,0,0,0,0,0,26.72,61.22,11.41,0.65,0,0,0,0,0,0,0
48.32,0,0,0,0,0,51.68,0,0,0,0,0,0,26.07,61.54,11.71,0.68,0,0,0,0,0,0,0
48.45,0,0,0,0,0,51.55,0,0,0,0,0,0,25.44,61.84,12.01,0.72,0,0,0,0,0,0,0
