Na,Li,K,Cs,Ca,Mg,Si,P,B,Al,Si6err,Si5err,Si4err,Si3err,Si2err,Si1err,Si0err,P3err,P2err,P1err,P0err,B4err,Al4err,Al6err
0.0,37.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1359993599999996,-1.2719987099999983,0.135999356,4.2199999999999995e-16,0.0,0.0,0.0
0.0,40.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8026328300000003,0.6052656500000069,0.19736717399999998,7.740000000000001e-16,0.0,0.0,0.0
0.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38930799,-1.7786159799999979,0.38930799000000005,2.24e-14,0.0,0.0,0.0
0.0,15.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.991929670000005,7.983859330000001,0.008070333,4.91e-18,0.0,0.0,0.0
0.0,35.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.893301389999998,4.786602770000002,0.10669861300000001,2.8599999999999996e-16,0.0,0.0,0.0
0.0,55.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1014850100000046,-1.0507425099999992,5.94e-12,0.0,0.0,0.0
0.0,25.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,2.1265623899999966,0.12308990999999736,-2.6163741920000003,0.357229088,0.009492802,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,33.3,0.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.0,-2.9938795999999996,0.8340857700000015,0.3997833800000006,1.6736943119999999,0.08631613199999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,36.4,0.0,0.0,0.0,0.0,63.6,0.0,0.0,0.0,0.0,0.0,-4.44071857,2.104611239999997,-0.6980424999999997,2.845125574,0.18902426,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,40.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,-8.595217479999999,3.483067460000001,1.3092518099999992,3.3131639139999995,0.489734296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,43.6,0.0,56.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.195476289999998,-4.49094058,0.295452285,1.2e-05,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,44.7,0.0,55.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.257460439999999,-3.6149043500000033,0.357427381,1.65e-05,0.0,0.0,0.0
